"hour","mean_co2","median_co2","sd_co2","count"
0,1348.0228404087,1336.893614,547.321096376712,29
1,1484.63591695815,1523.368709,493.568002032655,29
2,1524.77341041845,1530.965607,530.196490403167,29
3,1493.79506840345,1450.653017,723.990630468164,29
4,1406.7964430069,1312.116503,398.5452132181,29
5,1326.64387803448,1290.415746,289.807036249307,29
6,1314.69904383103,1359.009839,263.818784747501,29
7,1242.43365873103,1259.261345,249.534941396229,29
8,1320.60199363103,1305.564618,356.581883021007,29
9,1479.32585491379,1417.318829,414.011408332514,29
10,1407.09621378966,1339.076895,411.490148464905,29
11,1393.04162318103,1362.719205,209.624572555352,29
12,1352.97926426724,1262.568609,298.63286226616,29
13,1240.56702649483,1308.991646,390.405979644115,29
14,1223.93781461897,1231.41027,470.034058134783,29
15,1197.98519078103,1183.452876,292.094735509898,29
16,1170.28555984483,1195.887627,272.829468272048,29
17,1094.14018110345,1208.221222,526.634472848046,29
18,1181.07146608276,1164.765077,274.02210768529,29
19,1243.71209292069,1266.693521,370.185934412643,29
20,1183.35769283448,1115.93184,341.727701086035,29
21,1148.27241450345,1075.056484,306.199596439043,29
22,1385.69996429643,1388.2948145,340.076875771206,29
23,1345.30653067273,1429.365628,511.387742947175,29
