"hour","mean_co2","median_co2","sd_co2","count"
0,1348.0228404087,1336.893614,547.321096376712,23
1,1518.24554628208,1569.5184315,495.92507091421,24
2,1530.7323101375,1546.4245,528.26287514631,24
3,1493.79506840345,1450.653017,723.990630468164,29
4,1395.54177222143,1298.8411785,401.138100005307,28
5,1326.64387803448,1290.415746,289.807036249307,29
6,1313.943863075,1360.968448,268.627978413975,28
7,1227.72263750741,1239.741198,252.569188094603,27
8,1320.60199363103,1305.564618,356.581883021007,29
9,1475.86037358929,1398.3521815,421.180032371443,28
10,1407.09621378966,1339.076895,411.490148464905,29
11,1393.11793610833,1365.0304095,219.950812085548,24
12,1352.55432410714,1258.943945,304.103892682554,28
13,1231.78360542321,1283.89167,394.64126419596,28
14,1206.95440426667,1223.174623,481.391286840323,27
15,1201.25410084815,1183.452876,301.460232295773,27
16,1170.28555984483,1195.887627,272.829468272048,29
17,1094.14018110345,1208.221222,526.634472848046,29
18,1178.45205264444,1164.765077,280.852486664641,27
19,1243.71209292069,1266.693521,370.185934412643,29
20,1157.72874056071,1095.037839,318.353538233169,28
21,1156.31824305357,1086.716595,308.680842615023,28
22,1388.89486838148,1408.881846,346.126632849944,27
23,1345.30653067273,1429.365628,511.387742947175,22
